NAME       LOCATION    MATERIAL INTEREST      NPCS       FURNISHINGS
ENTRANCE   DUNGEON     ROCK     GUARD         MONSTERS   NONE
PRISON     DUNGEON     ROCK     GUARD         VILLAGERS  PRISON
LARDER     DUNGEON     ROCK     RANDOM        MONSTERS   LARDER
TREASURY   DUNGEON     ROCK     RANDOM        MONSTERS   TREASURY
CHAMBER    DUNGEON     ROCK     NONE          MONSTERS   CHAMBER
SHRINE     DUNGEON     ROCK     RANDOM        MONSTERS   SHRINE
BOSS       DUNGEON     ROCK     BOSS          MONSTERS   BOSS
GATEHOUSE  TOWN        WOOD     GUARD         VILLAGERS  GATEHOUSE
RESIDENCE  TOWN        WOOD     RANDOM        VILLAGERS  RESIDENCE
BLACKSMITH TOWN        NONE     BLACKSMITH    VILLAGERS  BLACKSMITH
LIBRARY    TOWN        WOOD     LIBRARIAN     VILLAGERS  LIBRARY
TAVERN     TOWN        WOOD     INNKEEPER     VILLAGERS  TAVERN
TEMPLE     TOWN        WOOD     PRIEST        VILLAGERS  TEMPLE
FARM       TOWN        NONE     FARMER        VILLAGERS  FARM
CEMETERY   TOWN        NONE     GRAVEKEEPER   VILLAGERS  CEMETERY
MARKET     TOWN        WOOD     MERCHANT      VILLAGERS  MARKET
STABLES    TOWN        WOOD     STABLEMASTER  VILLAGERS  STABLES
CLEARING   WILDERNESS  NONE     RANDOM        ANIMALS    CLEARING
TRAIL      WILDERNESS  NONE     RANDOM        TRAVELERS  TRAIL
CAVE       WILDERNESS  ROCK     RANDOM        MONSTERS   CAVE
RUINS      WILDERNESS  NONE     RANDOM        MONSTERS   RUINS
LAKE       WILDERNESS  NONE     RANDOM        ANIMALS    LAKE
CAMP       WILDERNESS  NONE     RANDOM        BANDITS    CAMP
