NAME        STATE  COLOR       ADJECTIVE   FLAME FREEZ BUOY  SOLUB CONDU CORRO ELAST TMP  STR DEN MELT BOIL CATEGORY
NULL        SOLID  WHITE       EMPTY       FALSE FALSE FALSE FALSE FALSE FALSE FALSE 0    0   0   0    0    NULL
IRON        SOLID  GRAY        STURDY      FALSE FALSE FALSE FALSE TRUE  FALSE FALSE 70   5   500 2200 5000 METAL
BRASS       SOLID  BRASS       DULL        FALSE FALSE FALSE FALSE TRUE  FALSE FALSE 70   5   300 1700 4900 METAL
CHROME      SOLID  CHROME      SHINY       FALSE FALSE FALSE FALSE TRUE  FALSE FALSE 70   5   350 3300 4800 METAL
NICKEL      SOLID  NICKEL      TOUGH       FALSE FALSE FALSE FALSE TRUE  FALSE FALSE 70   5   200 2500 5000 METAL
PLATINUM    SOLID  PLATINUM    DENSE       FALSE FALSE FALSE FALSE TRUE  FALSE FALSE 70   5   200 3200 4000 METAL
GOLD        SOLID  GOLD        LUSTROUS    FALSE FALSE FALSE FALSE TRUE  FALSE FALSE 70   5   200 2000 5000 METAL
SILVER      SOLID  SILVER      BRIGHT      FALSE FALSE FALSE FALSE TRUE  FALSE FALSE 70   5   200 1800 4000 METAL
COPPER      SOLID  COPPER      DULL        FALSE FALSE FALSE FALSE TRUE  FALSE FALSE 70   5   200 1900 4600 METAL
JADE        SOLID  GREEN       BEAUTIFUL   FALSE FALSE FALSE FALSE FALSE FALSE FALSE 70   10  500 1300 2400 MINERAL
DIRT        SOLID  BROWN       CRUMBLY     FALSE FALSE FALSE TRUE  FALSE FALSE FALSE 70   0   100 0    0    MINERAL
SAND        SOLID  TAN         GRAINY      FALSE FALSE FALSE FALSE FALSE FALSE FALSE 70   0   50  3090 4045 MINERAL
SANDSTONE   SOLID  TAN         ROUGH       FALSE FALSE FALSE TRUE  FALSE FALSE FALSE 70   10  500 1300 2400 MINERAL
ROCK        SOLID  GRAY        ROUGH       FALSE FALSE FALSE FALSE FALSE FALSE FALSE 70   10  500 1300 2400 MINERAL
MARBLE      SOLID  WHITE       VEINED      FALSE FALSE FALSE FALSE FALSE FALSE FALSE 70   10  500 1300 2400 MINERAL
QUARTZ      SOLID  WHITE       CRYSTALLINE FALSE FALSE FALSE FALSE FALSE FALSE FALSE 70   10  500 1300 2400 MINERAL
LYE         SOLID  TAN         CAUSTIC     TRUE  TRUE  TRUE  TRUE  FALSE TRUE  FALSE 70   0   10  0    0    MINERAL
CRYSTAL     SOLID  TRANSPARENT FRAGILE     FALSE FALSE FALSE FALSE FALSE FALSE FALSE 70   1   100 2700 4000 MINERAL
GRASS       SOLID  GREEN       SOFT        TRUE  TRUE  TRUE  FALSE FALSE FALSE FALSE 70   0   20  0    0    ORGANICS
MOSS        SOLID  GREEN       SPONGY      TRUE  TRUE  TRUE  FALSE FALSE FALSE FALSE 70   0   30  0    0    ORGANICS
VINE        SOLID  GREEN       STRINGY     TRUE  TRUE  TRUE  FALSE FALSE FALSE FALSE 70   0   50  0    0    ORGANICS
PAPER       SOLID  WHITE       THIN        TRUE  FALSE FALSE TRUE  FALSE FALSE FALSE 70   1   10  0    0    ORGANICS
WOOD        SOLID  BROWN       GRAINED     TRUE  FALSE TRUE  FALSE FALSE FALSE FALSE 70   3   100 0    0    ORGANICS
WAX         SOLID  WHITE       STICKY      FALSE FALSE TRUE  FALSE FALSE FALSE FALSE 70   1   30  100  200  ORGANICS
