FURNISHING    ITEMS
PRISON        BARS, SHACKLES, STRAW, CHAINS, CAGES
LARDER        BARRELS, CRATES, SACKS, FOOD, SHELVES
TREASURY      CHESTS, COINS, GEMS, BOXES
CHAMBER       DEBRIS, RUBBLE, ROCKS, TORCHES
SHRINE        ALTAR, CANDLES, RUNES, INCENSE, STATUES
BOSS          THRONE, TREASURE, PILLARS
GATEHOUSE     GATE, TORCHES
RESIDENCE     BED, TABLE, CHAIRS, CUPBOARD, FIREPLACE, RUG
BLACKSMITH    FORGE, ANVIL, HAMMER, TONGS, INGOTS, BELLOWS
LIBRARY       BOOKSHELVES, DESK, CHAIRS, SCROLLS, GLOBES
TAVERN        COUNTER, TABLES, CHAIRS, FIREPLACE, MUGS
TEMPLE        ALTAR, PEWS, CANDLES, RUGS
FARM          HAY, TOOLS, SACKS, BARRELS, FENCE, VEGETABLES
CEMETERY      TOMBSTONES
MARKET        STALLS, CRATES, BASKETS, TABLES
STABLES       STALLS, HAY, TROUGHS, BRUSHES
