NAME             TYPE       MATERIAL SIZE   SENTIENT CONTAINER
ABACUS           DEFAULT    WOOD     TINY   FALSE    FALSE
AMULET           JEWELRY    COPPER   TINY   FALSE    FALSE
AMULET           JEWELRY    SILVER   TINY   FALSE    FALSE
AMULET           JEWELRY    GOLD     TINY   FALSE    FALSE
ARROW            AMMUNITION WOOD     TINY   FALSE    FALSE
ART              DEFAULT    PAPER    SMALL  FALSE    FALSE
BACKPACK         APPAREL    LEATHER  SMALL  FALSE    TRUE
BAG              APPAREL    LEATHER  SMALL  FALSE    TRUE
BASKET           CONTAINER  WICKER   TINY   FALSE    TRUE
BATHTUB          FURNITURE  CERAMIC  MEDIUM FALSE    TRUE
BED              FURNITURE  WOOL     MEDIUM FALSE    TRUE
BELL             DEFAULT    BRASS    TINY   FALSE    FALSE
BELT             JEWELRY    LEATHER  TINY   FALSE    FALSE
BEANS            FOOD       FOOD     MICRO  FALSE    FALSE
BENCH            FURNITURE  WOOD     SMALL  FALSE    FALSE
BLANKET          FURNITURE  WOOL     SMALL  FALSE    FALSE
BOOK             DATA       PAPER    TINY   FALSE    FALSE
BOX              CONTAINER  WOOD     SMALL  FALSE    TRUE
BOWL             DEFAULT    CERAMIC  TINY   FALSE    TRUE
BREAD            FOOD       FOOD     TINY   FALSE    FALSE
BROOM            DEFAULT    WOOD     TINY   FALSE    FALSE
BUCKET           CONTAINER  PLASTIC  TINY   FALSE    TRUE
BUTTON           SWITCH     PLASTIC  TINY   FALSE    FALSE
CAMERA           GADGET     PLASTIC  TINY   FALSE    TRUE
CARPET           FURNITURE  WOOL     MEDIUM FALSE    FALSE
CANDLE           LIGHT      WAX      TINY   FALSE    FALSE
CHAIN            DEFAULT    IRON     SMALL  FALSE    FALSE
CHAIR            FURNITURE  WOOD     SMALL  FALSE    FALSE
CHALK            DEFAULT    BONE     TINY   FALSE    FALSE
CHEST            FURNITURE  WOOD     SMALL  FALSE    TRUE
CIGARETTE        DEFAULT    PAPER    TINY   FALSE    FALSE
CLOCK            FURNITURE  PLASTIC  TINY   FALSE    TRUE
COMPUTER         GADGET     PLASTIC  SMALL  FALSE    TRUE
CROWBAR          TOOL       IRON     TINY   FALSE    FALSE
CRYSTAL          DEFAULT    CRYSTAL  TINY   FALSE    TRUE
CRYSTAL_BALL     DATA       CRYSTAL  TINY   FALSE    TRUE
CUP              DEFAULT    GLASS    TINY   FALSE    TRUE
DECK_OF_CARDS    TOY        PAPER    TINY   FALSE    FALSE
DESK             FURNITURE  WOOD     MEDIUM FALSE    TRUE
DICE_SET         TOY        CERAMIC  MICRO  FALSE    FALSE
DISK             DATA       PLASTIC  SMALL  FALSE    FALSE
DOCUMENTS        DATA       PAPER    TINY   FALSE    FALSE
